iter	RMSE
0	0.5724885181
1	0.5564136568
2	0.5409709475
3	0.5264420353
4	0.513067997
5	0.5009835315
6	0.4893932998
7	0.4786190043
8	0.4684975625
9	0.458961314
10	0.4499662256
11	0.4415546809
12	0.4340759152
13	0.4267872131
14	0.4198207766
15	0.4132644545
16	0.4071214142
17	0.4014742123
18	0.3959140054
19	0.3908410533
20	0.3860338718
21	0.3818740488
22	0.3778108056
23	0.3739179529
24	0.3703078221
25	0.3669651484
26	0.363431914
27	0.3604859174
28	0.3577119392
29	0.3552576703
30	0.3529238663
31	0.3504985496
32	0.3481086607
33	0.346066493
34	0.3441703865
35	0.3421928973
36	0.3405218447
37	0.3389053437
38	0.337406213
39	0.3359886874
40	0.3345965791
41	0.3332600519
42	0.3319797865
43	0.3307966298
44	0.3297171298
45	0.3286138187
46	0.3276880833
47	0.3266276554
48	0.3256226316
49	0.3247829109
50	0.3239443244
51	0.3229561915
52	0.322191096
53	0.3215313574
54	0.320852035
55	0.3200498989
56	0.3194232972
57	0.3186407584
58	0.3180629992
59	0.3174678729
60	0.3167607424
61	0.316282307
62	0.3156343809
63	0.3150610996
64	0.314571704
65	0.3140747163
66	0.3136538333
67	0.3132487598
68	0.3127851001
69	0.3124291036
70	0.3119596408
71	0.3115801266
72	0.3111423428
73	0.3107825711
74	0.3104696612
75	0.3100673264
76	0.3096998528
77	0.3093272654
78	0.3090355091
79	0.3087052493
80	0.3083016468
81	0.3079434685
82	0.3076707911
83	0.3073740433
84	0.3071008042
85	0.3068304454
86	0.3065059713
87	0.3062091041
88	0.3059769939
89	0.3057544539
90	0.3055239929
91	0.3053018761
92	0.3051061834
93	0.3048759623
94	0.3046470034
95	0.3044557006
96	0.304256096
97	0.3040839209
98	0.303918281
99	0.3036689067
100	0.3035069628
101	0.3033578782
102	0.3031647807
103	0.3029604236
104	0.3027436606
105	0.3025304545
106	0.3023096906
107	0.3021028701
108	0.3019445839
109	0.3017519156
110	0.3014874321
111	0.3013107176
112	0.3010671062
113	0.3009252833
114	0.3007821684
115	0.3005885721
116	0.3004527228
117	0.3003187298
118	0.3001749923
119	0.2999642492
120	0.2997402008
121	0.2996010323
122	0.2994631965
123	0.2992909712
124	0.2991486187
125	0.2990201379
126	0.2988968393
127	0.2987756385
128	0.2986064126
129	0.2985102849
130	0.2983935822
131	0.2982773786
132	0.2981268087
133	0.2979808252
134	0.2977927891
135	0.2976290994
136	0.2975219832
137	0.2974113856
138	0.2972851483
139	0.2971661737
140	0.2970709666
141	0.2969186848
142	0.2968295489
143	0.296703015
144	0.2965451305
145	0.2964424029
146	0.2963440576
147	0.2962136686
148	0.2961510718
149	0.2960139404
150	0.2958577381
151	0.2957226497
152	0.2956010333
153	0.2954841419
154	0.2953682554
155	0.2952554558
156	0.295144305
157	0.295026516
158	0.2949289378
159	0.2948447719
160	0.2947402334
161	0.2945726984
162	0.294446516
163	0.2943278714
164	0.2942313151
165	0.2941364188
166	0.2940623416
167	0.293937966
168	0.2938668796
169	0.2937119477
170	0.2936476179
171	0.2935234484
172	0.2934559898
173	0.2933296323
174	0.2932454161
175	0.293170939
176	0.2930730092
177	0.2929982436
178	0.2929444137
179	0.2928535381
180	0.2927822191
181	0.2926819174
182	0.2926001642
183	0.2924881363
184	0.292376939
185	0.2923021344
186	0.2921720884
187	0.292081033
188	0.2919729938
189	0.2918878614
190	0.2918114718
191	0.2917389484
192	0.2916520636
193	0.2915503682
194	0.2914682187
195	0.2913599401
196	0.2912606991
197	0.2911934542
198	0.2910934683
199	0.2909978138
200	0.2909045337
201	0.2908118139
202	0.2907083141
203	0.2906313701
204	0.290555786
205	0.290458566
206	0.2903898968
207	0.2902777776
208	0.2902067261
209	0.2900895776
210	0.2899432618
211	0.2898802933
212	0.2898013022
213	0.2897366007
214	0.2896613921
215	0.2895935868
216	0.2894894244
217	0.2894480341
218	0.2893481154
219	0.2892945297
220	0.2892305503
221	0.2891384238
222	0.2890243489
223	0.2889662906
224	0.2888681431
225	0.2887775076
226	0.2887030314
227	0.2886546155
228	0.2886131101
229	0.2885396266
230	0.288423352
231	0.2883266663
232	0.2882208176
233	0.2881441945
234	0.2880745899
235	0.2880203828
236	0.2879369142
237	0.2878533771
238	0.2877477888
239	0.2876742736
240	0.2875686177
241	0.2875148797
242	0.287444341
243	0.2873743183
244	0.2872839252
245	0.287207701
246	0.287096947
247	0.2870522687
248	0.2869852055
249	0.2868988618
250	0.2868268311
251	0.2867463407
252	0.2866589326
253	0.2866037195
254	0.2865187442
255	0.2864607762
256	0.2863959362
257	0.2863292104
258	0.2862303594
259	0.2861619394
260	0.286077885
261	0.2860047434
262	0.285942882
263	0.2858853274
264	0.2857673844
265	0.28566672
266	0.2855899189
267	0.2855367762
268	0.2854421125
269	0.2853634929
270	0.2852990673
271	0.2852305964
272	0.2851834001
273	0.2850715381
274	0.2849859037
275	0.2848997025
276	0.2848028741
277	0.2847318835
278	0.2846752888
279	0.2845932334
280	0.2844907982
281	0.2844492768
282	0.2843652372
283	0.284310654
284	0.2842556447
285	0.2841986279
286	0.2841355465
287	0.2840952843
288	0.2840381059
289	0.2839817429
290	0.2838922332
291	0.2838268583
292	0.2837778685
293	0.2837003896
294	0.2836441963
295	0.283576128
296	0.2834944647
297	0.2834378957
298	0.283371925
299	0.2833090383
300	0.2832407409
301	0.2831853519
302	0.2831206991
303	0.2830470523
304	0.2829815564
305	0.2829204174
306	0.282848432
307	0.2827660869
308	0.2826917902
309	0.2826018035
310	0.2825137462
311	0.282480388
312	0.2824305963
313	0.2823661763
314	0.2822979808
315	0.2822074266
316	0.28214589
317	0.2820851273
318	0.2820052393
319	0.2819398589
320	0.2818933904
321	0.2818276581
322	0.2817707287
323	0.2817152217
324	0.2816549662
325	0.2815929491
326	0.2815544128
327	0.2814812115
328	0.2814403729
329	0.2813616454
330	0.2813059896
331	0.2812355265
332	0.2811851842
333	0.2811465603
334	0.2810709914
335	0.281022083
336	0.280965671
337	0.2809308145
338	0.2808776308
339	0.2808204694
340	0.2807441738
341	0.2806990925
342	0.2806508302
343	0.2805907696
344	0.2805293406
345	0.2804362842
346	0.2803726847
347	0.280267857
348	0.2802063626
349	0.2801465909
350	0.2800682495
351	0.279968691
352	0.2798663507
353	0.2798059819
354	0.2797659361
355	0.2796898944
356	0.2796479413
357	0.2796009684
358	0.2795325436
359	0.2794604312
360	0.279422003
361	0.2793830495
362	0.2793091101
363	0.2792656368
364	0.2792125441
365	0.2791433426
366	0.2790734441
367	0.2790024444
368	0.2789324848
369	0.2788974215
370	0.2788117343
371	0.2787609115
372	0.2787137184
373	0.2786581444
374	0.2785842056
375	0.2785134314
376	0.2784428621
377	0.2783677234
378	0.2783157584
379	0.2782639703
380	0.2782236246
381	0.2781567382
382	0.2780945367
383	0.2780440686
384	0.2779937231
385	0.27795992
386	0.2779263846
387	0.2778859204
388	0.2778428519
389	0.2777970164
390	0.2777318185
391	0.2777003428
392	0.2776270189
393	0.2775799272
394	0.2775112676
395	0.2774690465
396	0.2773914879
397	0.2773294249
398	0.2772798598
399	0.2772368947
400	0.2771474965
401	0.2771166924
402	0.2770673176
403	0.2770003606
404	0.2769270538
405	0.2768342361
406	0.2767810706
407	0.2767289059
408	0.2766849043
409	0.276640108
410	0.2765967279
411	0.2765624316
412	0.276506254
413	0.2764483129
414	0.2764043148
415	0.2763377616
416	0.2762655849
417	0.2762238397
418	0.2761748408
419	0.2761240612
420	0.2760771314
421	0.2760202155
422	0.2759737275
423	0.2759384576
424	0.2759074308
425	0.2758294987
426	0.2757729686
427	0.2757249897
428	0.2756713817
429	0.2756178977
430	0.2755500329
431	0.2754839735
432	0.2754009012
433	0.2753565184
434	0.275321857
435	0.2752909389
436	0.2752698548
437	0.2752261581
438	0.2751791944
439	0.2751325358
440	0.2750934055
441	0.2750403749
442	0.2749941754
443	0.2749457369
444	0.2748884551
445	0.2747997007
446	0.2747395452
447	0.2747048114
448	0.2746209619
449	0.2745711642
450	0.2745183901
451	0.2744693516
452	0.2744391663
453	0.2743981183
454	0.2743677828
455	0.2743054796
456	0.274272061
457	0.2742032309
458	0.2741748793
459	0.2741139025
460	0.2740672206
461	0.2740246825
462	0.2739523142
463	0.273909812
464	0.2738664691
465	0.2738199759
466	0.2737642967
467	0.2737021924
468	0.2736448776
469	0.273611085
470	0.2735750593
471	0.2735431872
472	0.2734623065
473	0.2733883562
474	0.2733527673
475	0.2733306292
476	0.2732903561
477	0.2732427227
478	0.2731864638
479	0.2731732948
480	0.2731316459
481	0.273092333
482	0.2730517247
483	0.2730142392
484	0.272953156
485	0.2729301716
486	0.2728794831
487	0.2728143482
488	0.2727608944
489	0.2727030113
490	0.2726687825
491	0.272619916
492	0.2725566059
493	0.272515068
494	0.2724529139
495	0.2723800043
496	0.272313741
497	0.2722775821
498	0.272220427
499	0.2721844895
500	0.272152019
501	0.2721369058
502	0.272074729
503	0.2720211766
504	0.2719665301
505	0.2719265403
506	0.2718907988
507	0.2718359391
508	0.2717993408
509	0.2717504688
510	0.2716701793
511	0.2716100538
512	0.2715710994
513	0.2715272908
514	0.2714893285
515	0.2714461949
516	0.2714044006
517	0.2713623185
518	0.2713159985
519	0.2712524587
520	0.2712038166
521	0.2711640799
522	0.2711005946
523	0.2710562199
524	0.2710127027
525	0.2709519244
526	0.2709159452
527	0.2708655661
528	0.2708142453
529	0.2707809086
530	0.2707345018
531	0.2707057548
532	0.2706504907
533	0.2706449366
534	0.2706091553
535	0.2705620509
536	0.2705213404
537	0.2704717595
538	0.2704092689
539	0.2703638206
540	0.2703310113
541	0.2702893849
542	0.2702473406
543	0.2702090042
544	0.2701733283
545	0.2701288937
546	0.2700816493
547	0.2700542204
548	0.2700417284
549	0.2699827658
550	0.2699429468
551	0.2698987471
552	0.2698542895
553	0.2698162039
554	0.2697501165
555	0.2697192779
556	0.2696910117
557	0.2696651031
558	0.2696131498
559	0.2695889464
560	0.2695531764
561	0.2694942253
562	0.2694334143
563	0.2694035391
564	0.2693898063
565	0.2693401443
566	0.2692860887
567	0.2692341282
568	0.2691867593
569	0.2691403735
570	0.269095411
571	0.2690540727
572	0.2690220043
573	0.268995076
574	0.2689541335
575	0.2689287276
576	0.2688901787
577	0.2688558819
578	0.2688215114
579	0.2687905776
580	0.2687574208
581	0.2687004275
582	0.2686622982
583	0.2686162871
584	0.2685924626
585	0.2685537348
586	0.2684985978
587	0.2684579205
588	0.268428326
589	0.2683925131
590	0.2683311526
591	0.2682767749
592	0.2682303343
593	0.2682049525
594	0.2681658331
595	0.2681008085
596	0.2680486642
597	0.268011745
598	0.2679717575
599	0.2679223045
