iter	Passed	Remaining
0	34	20936
1	83	24896
2	127	25319
3	173	25781
4	230	27408
5	291	28878
6	355	30141
7	399	29596
8	437	28737
9	500	29523
10	559	29964
11	600	29405
12	635	28700
13	664	27822
14	696	27169
15	732	26746
16	762	26134
17	794	25685
18	825	25237
19	857	24879
20	883	24369
21	911	23948
22	938	23555
23	968	23249
24	1000	23013
25	1052	23232
26	1105	23450
27	1146	23424
28	1190	23439
29	1233	23444
30	1270	23327
31	1303	23144
32	1336	22960
33	1380	22973
34	1416	22871
35	1448	22698
36	1475	22457
37	1508	22311
38	1535	22094
39	1567	21943
40	1598	21794
41	1631	21674
42	1666	21588
43	1707	21576
44	1746	21534
45	1772	21343
46	1801	21198
47	1832	21075
48	1879	21139
49	1916	21085
50	1950	20994
51	1979	20864
52	2011	20757
53	2045	20685
54	2075	20570
55	2106	20462
56	2133	20327
57	2165	20237
58	2229	20442
59	2277	20496
60	2314	20448
61	2348	20377
62	2380	20294
63	2417	20247
64	2458	20238
65	2497	20203
66	2525	20089
67	2553	19979
68	2579	19847
69	2608	19749
70	2641	19684
71	2673	19603
72	2708	19552
73	2753	19575
74	2785	19497
75	2820	19449
76	2860	19428
77	2894	19371
78	2943	19413
79	2974	19334
80	3008	19274
81	3041	19211
82	3073	19144
83	3106	19084
84	3131	18970
85	3160	18890
86	3197	18851
87	3229	18791
88	3262	18731
89	3296	18679
90	3327	18614
91	3368	18599
92	3424	18668
93	3466	18657
94	3532	18776
95	3594	18870
96	3633	18840
97	3662	18758
98	3689	18671
99	3722	18610
100	3751	18535
101	3780	18459
102	3813	18402
103	3845	18340
104	3875	18268
105	3907	18212
106	3935	18134
107	3965	18066
108	3998	18012
109	4033	17966
110	4066	17913
111	4099	17860
112	4132	17810
113	4161	17740
114	4186	17655
115	4214	17582
116	4245	17525
117	4274	17460
118	4304	17398
119	4337	17349
120	4369	17295
121	4405	17262
122	4434	17195
123	4464	17138
124	4497	17088
125	4523	17017
126	4556	16971
127	4600	16963
128	4644	16956
129	4677	16909
130	4709	16859
131	4741	16810
132	4778	16778
133	4810	16727
134	4849	16703
135	4885	16669
136	4914	16610
137	4950	16572
138	4977	16509
139	5010	16461
140	5040	16409
141	5068	16349
142	5097	16291
143	5123	16225
144	5153	16172
145	5187	16129
146	5213	16067
147	5248	16027
148	5276	15972
149	5308	15925
150	5344	15891
151	5372	15833
152	5405	15793
153	5438	15751
154	5467	15696
155	5497	15648
156	5526	15594
157	5557	15546
158	5593	15513
159	5623	15464
160	5654	15418
161	5692	15391
162	5745	15403
163	5795	15408
164	5844	15407
165	5890	15401
166	5927	15368
167	5967	15344
168	5996	15292
169	6020	15229
170	6052	15183
171	6088	15149
172	6119	15103
173	6153	15065
174	6194	15044
175	6220	14984
176	6251	14940
177	6283	14896
178	6308	14837
179	6339	14792
180	6366	14738
181	6397	14692
182	6423	14636
183	6471	14631
184	6499	14578
185	6527	14529
186	6557	14483
187	6588	14438
188	6616	14388
189	6646	14341
190	6669	14282
191	6696	14229
192	6720	14172
193	6754	14135
194	6806	14135
195	6852	14124
196	6894	14103
197	6937	14084
198	6975	14055
199	7009	14019
200	7044	13983
201	7072	13934
202	7128	13940
203	7160	13899
204	7198	13870
205	7247	13862
206	7282	13826
207	7312	13780
208	7348	13747
209	7388	13720
210	7420	13680
211	7449	13633
212	7491	13611
213	7529	13580
214	7557	13532
215	7589	13492
216	7627	13462
217	7656	13416
218	7695	13387
219	7734	13359
220	7773	13330
221	7811	13301
222	7862	13291
223	7907	13274
224	7948	13247
225	7980	13207
226	8014	13169
227	8046	13129
228	8090	13107
229	8143	13101
230	8177	13062
231	8220	13039
232	8257	13006
233	8285	12958
234	8313	12912
235	8338	12861
236	8372	12823
237	8410	12792
238	8446	12757
239	8473	12710
240	8506	12671
241	8534	12625
242	8561	12578
243	8589	12531
244	8614	12482
245	8643	12438
246	8675	12398
247	8705	12356
248	8737	12317
249	8768	12276
250	8800	12236
251	8832	12197
252	8876	12174
253	8912	12140
254	8957	12118
255	9000	12094
256	9049	12078
257	9092	12052
258	9130	12020
259	9171	11993
260	9206	11957
261	9240	11920
262	9268	11876
263	9355	11907
264	9402	11885
265	9441	11855
266	9473	11815
267	9508	11779
268	9546	11746
269	9575	11702
270	9610	11666
271	9640	11625
272	9665	11577
273	9697	11537
274	9725	11493
275	9754	11450
276	9780	11405
277	9803	11355
278	9830	11310
279	9853	11261
280	9901	11240
281	9933	11201
282	9958	11154
283	9981	11106
284	10004	11057
285	10035	11018
286	10078	10991
287	10107	10950
288	10146	10918
289	10183	10885
290	10225	10857
291	10259	10821
292	10292	10784
293	10324	10745
294	10355	10706
295	10394	10675
296	10443	10654
297	10495	10636
298	10553	10623
299	10631	10631
300	10671	10601
301	10708	10566
302	10744	10531
303	10793	10509
304	10829	10474
305	10864	10437
306	10901	10404
307	10927	10359
308	10955	10317
309	10991	10281
310	11022	10242
311	11055	10204
312	11079	10158
313	11112	10121
314	11152	10090
315	11192	10059
316	11220	10017
317	11246	9973
318	11276	9932
319	11304	9891
320	11328	9846
321	11356	9804
322	11383	9762
323	11408	9718
324	11434	9674
325	11468	9639
326	11497	9599
327	11532	9563
328	11556	9518
329	11592	9484
330	11620	9444
331	11650	9404
332	11679	9364
333	11704	9321
334	11738	9285
335	11765	9244
336	11791	9202
337	11818	9160
